house,date,appliance_label,appliance_type,refit_column,daily_kwh,avg_power_w,max_power_w,active_minutes_est,cost_day_aud
1,2013-01-11,Fridge,Fridge,Appliance1,1.84049,78.441,499.0,176.7,0.55
1,2013-01-12,Fridge,Fridge,Appliance1,1.47559,87.633,512.0,98.4,0.44
1,2013-02-11,Fridge,Fridge,Appliance1,2.6349,111.013,1397.0,141.6,0.79
1,2013-02-12,Fridge,Fridge,Appliance1,0.76404,47.872,160.0,17.9,0.23
1,2013-03-11,Fridge,Fridge,Appliance1,1.44132,61.735,1457.0,28.4,0.43
1,2013-03-12,Fridge,Fridge,Appliance1,1.05776,59.755,117.0,18.5,0.32
1,2013-04-11,Fridge,Fridge,Appliance1,1.40455,59.998,525.0,30.4,0.42
1,2013-04-12,Fridge,Fridge,Appliance1,0.94846,55.498,109.0,11.3,0.28
1,2013-05-11,Fridge,Fridge,Appliance1,1.48568,66.898,1452.0,30.4,0.45
1,2013-05-12,Fridge,Fridge,Appliance1,1.25173,70.348,512.0,94.1,0.38
1,2013-06-11,Fridge,Fridge,Appliance1,1.1297,64.103,119.0,36.0,0.34
1,2013-06-12,Fridge,Fridge,Appliance1,1.71827,96.768,1439.0,59.3,0.52
1,2013-07-11,Fridge,Fridge,Appliance1,1.32013,199.415,1431.0,84.9,0.4
1,2013-07-12,Fridge,Fridge,Appliance1,2.00778,106.279,1471.0,102.0,0.6
1,2013-08-11,Fridge,Fridge,Appliance1,0.49272,54.706,111.0,3.6,0.15
1,2013-08-12,Fridge,Fridge,Appliance1,1.06797,60.692,574.0,63.7,0.32
1,2013-09-10,Fridge,Fridge,Appliance1,0.76223,88.562,972.0,54.7,0.23
1,2013-09-11,Fridge,Fridge,Appliance1,1.07801,60.882,108.0,10.6,0.32
1,2013-09-12,Fridge,Fridge,Appliance1,1.09288,62.09,108.0,11.6,0.33
1,2013-10-10,Fridge,Fridge,Appliance1,1.15766,53.937,119.0,30.1,0.35
1,2013-10-11,Fridge,Fridge,Appliance1,1.28563,68.953,598.0,73.5,0.39
1,2013-10-12,Fridge,Fridge,Appliance1,1.16392,61.922,1129.0,53.4,0.35
1,2013-11-10,Fridge,Fridge,Appliance1,1.85709,81.624,370.0,111.8,0.56
1,2013-11-11,Fridge,Fridge,Appliance1,0.89577,57.829,1415.0,24.3,0.27
1,2013-11-12,Fridge,Fridge,Appliance1,1.10745,61.017,583.0,51.7,0.33
1,2013-12-10,Fridge,Fridge,Appliance1,2.39087,103.277,704.0,178.9,0.72
1,2013-12-11,Fridge,Fridge,Appliance1,0.99844,60.622,111.0,32.6,0.3
1,2013-12-12,Fridge,Fridge,Appliance1,6.19963,283.131,2056.0,298.1,1.86
1,2014-01-01,Fridge,Fridge,Appliance1,1.33466,60.328,108.0,35.2,0.4
1,2014-01-04,Fridge,Fridge,Appliance1,1.50367,66.309,223.0,109.1,0.45
1,2014-01-05,Fridge,Fridge,Appliance1,1.16801,62.112,109.0,18.4,0.35
1,2014-01-06,Fridge,Fridge,Appliance1,1.24978,58.437,109.0,24.4,0.37
1,2014-01-07,Fridge,Fridge,Appliance1,1.16549,66.202,180.0,54.6,0.35
1,2014-01-08,Fridge,Fridge,Appliance1,1.05644,73.585,299.0,43.9,0.32
1,2014-01-09,Fridge,Fridge,Appliance1,0.59393,114.035,1397.0,42.3,0.18
1,2014-01-10,Fridge,Fridge,Appliance1,2.60175,145.404,1416.0,220.3,0.78
1,2013-01-11,Chest Freezer,Chest Freezer,Appliance2,1.81952,77.547,924.0,272.5,0.55
1,2013-01-12,Chest Freezer,Chest Freezer,Appliance2,0.58321,34.636,59.0,4.6,0.17
1,2013-02-11,Chest Freezer,Chest Freezer,Appliance2,1.15227,48.547,281.0,108.9,0.35
1,2013-02-12,Chest Freezer,Chest Freezer,Appliance2,0.82329,51.584,631.0,65.6,0.25
1,2013-03-11,Chest Freezer,Chest Freezer,Appliance2,3.15317,135.059,906.0,373.9,0.95
1,2013-03-12,Chest Freezer,Chest Freezer,Appliance2,0.80308,45.368,64.0,45.2,0.24
1,2013-04-11,Chest Freezer,Chest Freezer,Appliance2,2.04356,87.295,855.0,301.9,0.61
1,2013-04-12,Chest Freezer,Chest Freezer,Appliance2,1.27159,74.405,924.0,139.6,0.38
1,2013-05-11,Chest Freezer,Chest Freezer,Appliance2,1.49114,67.143,900.0,124.2,0.45
1,2013-05-12,Chest Freezer,Chest Freezer,Appliance2,1.26193,70.922,925.0,130.4,0.38
1,2013-06-11,Chest Freezer,Chest Freezer,Appliance2,1.34349,76.234,913.0,119.3,0.4
1,2013-06-12,Chest Freezer,Chest Freezer,Appliance2,1.54639,87.088,895.0,214.4,0.46
1,2013-07-11,Chest Freezer,Chest Freezer,Appliance2,0.50766,76.686,940.0,40.2,0.15
1,2013-07-12,Chest Freezer,Chest Freezer,Appliance2,1.56582,82.884,938.0,167.8,0.47
1,2013-08-11,Chest Freezer,Chest Freezer,Appliance2,0.86384,95.911,916.0,72.7,0.26
1,2013-08-12,Chest Freezer,Chest Freezer,Appliance2,1.057,60.068,908.0,95.3,0.32
1,2013-09-10,Chest Freezer,Chest Freezer,Appliance2,0.43487,50.527,271.0,35.0,0.13
1,2013-09-11,Chest Freezer,Chest Freezer,Appliance2,0.80914,45.697,141.0,63.5,0.24
1,2013-09-12,Chest Freezer,Chest Freezer,Appliance2,1.80321,102.445,915.0,213.1,0.54
1,2013-10-10,Chest Freezer,Chest Freezer,Appliance2,1.58887,74.027,904.0,169.2,0.48
1,2013-10-11,Chest Freezer,Chest Freezer,Appliance2,0.9955,53.393,628.0,67.4,0.3
1,2013-10-12,Chest Freezer,Chest Freezer,Appliance2,1.15184,61.279,918.0,102.3,0.35
1,2013-11-10,Chest Freezer,Chest Freezer,Appliance2,1.58879,69.832,896.0,188.3,0.48
1,2013-11-11,Chest Freezer,Chest Freezer,Appliance2,0.88549,57.165,623.0,69.2,0.27
1,2013-11-12,Chest Freezer,Chest Freezer,Appliance2,1.35804,74.823,895.0,149.4,0.41
1,2013-12-10,Chest Freezer,Chest Freezer,Appliance2,2.56888,110.967,926.0,338.2,0.77
1,2013-12-11,Chest Freezer,Chest Freezer,Appliance2,1.27118,77.182,902.0,122.3,0.38
1,2013-12-12,Chest Freezer,Chest Freezer,Appliance2,1.81629,82.948,912.0,215.6,0.54
1,2014-01-01,Chest Freezer,Chest Freezer,Appliance2,1.54643,69.9,897.0,165.5,0.46
1,2014-01-04,Chest Freezer,Chest Freezer,Appliance2,1.60966,70.983,890.0,202.1,0.48
1,2014-01-05,Chest Freezer,Chest Freezer,Appliance2,1.42129,75.58,914.0,140.8,0.43
1,2014-01-06,Chest Freezer,Chest Freezer,Appliance2,1.36083,63.63,915.0,127.8,0.41
1,2014-01-07,Chest Freezer,Chest Freezer,Appliance2,2.08073,118.19,920.0,271.5,0.62
1,2014-01-08,Chest Freezer,Chest Freezer,Appliance2,1.58869,110.658,931.0,166.4,0.48
1,2014-01-09,Chest Freezer,Chest Freezer,Appliance2,0.67314,129.243,900.0,98.6,0.2
1,2014-01-10,Chest Freezer,Chest Freezer,Appliance2,1.30886,73.148,916.0,163.9,0.39
1,2013-01-11,Upright Freezer,Upright Freezer,Appliance3,2.04193,87.026,944.0,190.9,0.61
