house,appliance_label,appliance_type,refit_column,samples,sample_seconds,days_covered,active_threshold_w,avg_power_w,max_power_w,total_kwh_window,avg_kwh_day,cost_day_aud,cost_month_aud,usage_events_est,mean_event_duration_min,median_event_duration_min,mean_event_energy_kwh,active_days_ratio,estimated_capacity_band,product_category,peak_usage_ratio,offpeak_usage_ratio,weekend_usage_ratio,night_usage_ratio,behaviour_recommendation,behaviour_priority,estimated_behaviour_saving_aud_month,product_category_intel,benchmark_avg_kwh_day,benchmark_median_kwh_day,benchmark_avg_cost_month_aud,usage_percentile_vs_similar_houses,above_similar_house_avg_pct,intelligent_efficiency_class,recommendation_reason_codes,intelligent_recommendation_summary,behaviour_saving_pct_of_appliance_cost,best_product_saving_aud_month,best_product_name,best_product_store,best_product_payback_months,best_product_intelligent_score,combined_behaviour_product_saving_aud_month
1,Fridge,Fridge,Appliance1,389895,6.0,365.0,102.36,81.106,2056.0,52.70439,0.1444,0.04,1.3,177,13.99,4.8,0.0975,1.0,low-use / standby,fridge,0.231,0.35,0.21,0.261,Fridge shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",4.6,0.0,Smart Plug With Timer,Kmart,,0.2469,0.06
1,Chest Freezer,Chest Freezer,Appliance2,389895,6.0,365.0,56.99,75.634,940.0,49.14869,0.13465,0.04,1.21,863,6.2,1.0,0.0283,1.0,low-use / standby,freezer,0.315,0.319,0.181,0.254,Chest Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",5.0,0.0,Freezer Timer Reminder Plug,Kmart,,0.2441,0.06
1,Upright Freezer,Upright Freezer,Appliance3,389895,6.0,365.0,81.45,78.839,1024.0,51.23155,0.14036,0.04,1.26,734,4.88,1.3,0.0202,1.0,low-use / standby,freezer,0.247,0.288,0.218,0.234,Upright Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.06,freezer,1.02615,0.92847,9.235384615384616,23.1,-86.3,Efficient,normal usage pattern,"Upright Freezer is classified as Efficient. It is 86.3% below the REFIT similar-appliance average, with 734 detected events and 24.7% peak-hour activity.",4.8,0.0,Freezer Timer Reminder Plug,Kmart,,0.2518,0.06
1,Tumble Dryer,Tumble Dryer,Appliance4,389895,6.0,365.0,150.0,788.923,2636.0,512.66158,1.40455,0.42,12.64,19,1267.71,66.7,26.605,0.806,high-power / large-use,generic,0.242,0.358,0.31,0.273,Tumble Dryer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,high,1.9,generic,3.5444526086956527,1.83936,31.899565217391302,47.8,-60.4,Efficient,normal usage pattern,"Tumble Dryer is classified as Efficient. It is 60.4% below the REFIT similar-appliance average, with 19 detected events and 24.2% peak-hour activity.",15.0,10.64,Smart Plug With Timer,Kmart,1.79,0.3926,12.54
1,Washing Machine,Washing Machine,Appliance5,389895,6.0,365.0,11.27,20.546,2489.0,13.3516,0.03658,0.01,0.33,290,19.36,1.2,0.0391,0.556,low-use / standby,washing machine,0.254,0.278,0.005,0.212,Washing Machine shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.02,washing machine,1.958721081081081,1.22083,17.62810810810811,2.7,-98.1,Average,peak-hour usage,"Washing Machine is classified as Average. It is 98.1% below the REFIT similar-appliance average, with 290 detected events and 25.4% peak-hour activity.",6.1,0.0,Smart Plug With Timer,Kmart,,0.2314,0.02
1,Dishwasher,Dishwasher,Appliance6,389895,6.0,365.0,30.73,276.099,2336.0,179.41631,0.49155,0.15,4.42,55,128.68,2.8,3.1752,0.444,high-power / large-use,washing machine,0.279,0.382,0.162,0.283,Dishwasher shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,medium,0.44,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",10.0,2.42,Smart Plug With Timer,Kmart,7.84,0.325,2.86
1,Computer Site,Computer Site,Appliance7,389895,6.0,365.0,10.0,30.435,56.0,19.77766,0.05419,0.02,0.49,7,5543.16,3650.9,2.8249,1.0,high-power / large-use,computer,0.254,0.327,0.23,0.241,Computer Site contributes to the daily energy use. Monitor this appliance and reduce unnecessary standby or repeated use.,low,0.02,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",4.1,0.0,Smart Plug With Timer,Kmart,,0.2509,0.02
1,Television Site,Television Site,Appliance8,389895,6.0,365.0,10.0,20.846,57.0,13.54628,0.03711,0.01,0.33,108,249.65,138.6,0.1088,0.972,medium-use,television,0.277,0.271,0.218,0.179,Television Site shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.02,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",6.1,0.0,Standby Saver Powerboard,Kmart,,0.2335,0.02
1,Electric Heater,Electric Heater,Appliance9,389895,6.0,365.0,10.0,111.95,1049.0,72.74801,0.19931,0.06,1.79,177,24.54,2.8,0.4077,0.5,medium-use,heater,0.0,0.869,0.196,0.869,Electric Heater shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,low,0.09,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",5.0,0.0,Smart Plug With Timer,Kmart,,0.2487,0.09
2,Fridge-Freezer,Fridge-Freezer,Appliance1,2906662,6.0,365.0,125.5,37.194,1690.0,180.18179,0.49365,0.15,4.44,1620,2.01,1.2,0.0059,0.937,low-use / standby,fridge,0.289,0.268,0.267,0.176,Fridge-Freezer shows repeated usage events in the 365-day window. Batch similar usage where possible to reduce repeated spikes.,medium,0.44,fridge,0.8247209090909091,0.62875,7.422727272727273,36.4,-40.1,Average,"peak-hour usage, frequent usage","Fridge-Freezer is classified as Average. It is 40.1% below the REFIT similar-appliance average, with 1620 detected events and 28.9% peak-hour activity.",9.9,2.44,Smart Plug With Timer,Kmart,7.78,0.34,2.88
