house,date,aggregate_kwh,mains_daily_kwh,selected_appliances_daily_kwh,estimated_cost_day_aud,rows
1,2013-01-11,8.9795,8.9795,65.9056,2.69,14078
1,2013-01-12,11.0921,11.0921,48.4238,3.33,10103
1,2013-02-11,9.9104,9.9104,71.5273,2.97,14241
1,2013-02-12,11.1917,11.1917,52.7014,3.36,9576
1,2013-03-11,15.183,15.183,41.7904,4.55,14008
1,2013-03-12,11.2415,11.2415,34.4942,3.37,10621
1,2013-04-11,14.2656,14.2656,48.252,4.28,14046
1,2013-04-12,12.9808,12.9808,44.3957,3.89,10254
1,2013-05-11,10.3662,10.3662,57.7285,3.11,13325
1,2013-05-12,13.8093,13.8093,52.6848,4.14,10676
1,2013-06-11,7.0857,7.0857,35.0837,2.13,10574
1,2013-06-12,13.5127,13.5127,22.5566,4.05,10654
1,2013-07-11,2.3626,2.3626,4.2553,0.71,3972
1,2013-07-12,15.5725,15.5725,14.6547,4.67,11335
1,2013-08-11,7.505,7.505,4.7772,2.25,5404
1,2013-08-12,15.4393,15.4393,16.5333,4.63,10558
1,2013-09-10,4.3499,4.3499,11.3761,1.3,5164
1,2013-09-11,12.8175,12.8175,33.6843,3.85,10624
1,2013-09-12,10.9588,10.9588,22.7097,3.29,10561
1,2013-10-10,12.4775,12.4775,8.8987,3.74,12878
1,2013-10-11,17.984,17.984,16.4353,5.4,11187
1,2013-10-12,14.6966,14.6966,20.0545,4.41,11278
1,2013-11-10,5.383,5.383,36.1246,1.61,13651
1,2013-11-11,11.0986,11.0986,38.8272,3.33,9294
1,2013-11-12,15.372,15.372,35.5916,4.61,10890
1,2013-12-10,4.9846,4.9846,9.5189,1.5,13890
1,2013-12-11,13.7078,13.7078,11.0993,4.11,9882
1,2013-12-12,14.0594,14.0594,17.7405,4.22,13138
1,2014-01-01,19.4216,19.4216,11.3299,5.83,13274
1,2014-01-04,12.9278,12.9278,14.7184,3.88,13606
1,2014-01-05,5.4037,5.4037,21.4249,1.62,11283
1,2014-01-06,6.7072,6.7072,8.3371,2.01,12832
1,2014-01-07,6.2733,6.2733,15.3182,1.88,10563
1,2014-01-08,3.8286,3.8286,4.7935,1.15,8614
1,2014-01-09,1.4318,1.4318,1.9744,0.43,3125
1,2014-01-10,3.5495,3.5495,8.8644,1.06,10736
2,2013-09-17,0.3305,0.3305,8.0931,0.1,1112
2,2013-09-18,6.979,6.979,77.4963,2.09,13366
2,2013-09-19,7.3846,7.3846,62.1936,2.22,14042
2,2013-09-20,9.0549,9.0549,50.8851,2.72,14273
2,2013-09-21,6.8003,6.8003,48.7602,2.04,14158
2,2013-09-22,7.6015,7.6015,53.0515,2.28,14367
