house,source_file,window_start,window_end,house_window_days_covered,mains_days_covered,rows_loaded,sample_seconds,selected_appliances,aggregate_total_kwh_window,aggregate_avg_kwh_day,estimated_total_cost_day_aud_from_aggregate,selected_total_kwh_window,selected_avg_kwh_day,estimated_total_cost_day_aud_from_selected,estimated_total_cost_month_aud_from_selected,usage_events_est
1,CLEAN_House1.csv,2013-01-11 00:00:02,2014-01-10 23:59:59,365.0,365.0,389895,6.0,9,377.93137,1.03543,0.31,964.58607,2.6427,0.79,23.78,2430
2,CLEAN_House2.csv,2013-09-17 22:08:11,2014-09-17 22:08:06,365.0,365.0,2906662,6.0,9,1793.26968,4.91307,1.47,12141.58955,33.26463,9.98,299.38,20803
3,CLEAN_House3.csv,2013-09-25 19:21:09,2014-09-12 12:31:41,351.716,351.716,3947000,5.0,9,3667.43872,10.42728,3.13,17447.25273,49.60613,14.88,446.46,31664
4,CLEAN_House4.csv,2013-01-11 00:00:01,2014-01-10 23:59:53,365.0,365.0,384523,4.0,9,177.33738,0.48586,0.15,755.02417,2.06856,0.62,18.62,12739
5,CLEAN_House5.csv,2013-09-26 09:56:09,2014-08-26 11:53:37,334.082,334.082,3947000,5.0,9,3688.57631,11.04095,3.31,17490.25321,52.35324,15.71,471.18,76963
6,CLEAN_House6.csv,2013-11-28 12:15:35,2014-11-25 00:25:16,361.507,361.507,3947000,7.0,9,3655.86318,10.11285,3.03,18796.97519,51.9962,15.6,467.97,41922
7,CLEAN_House7.csv,2013-01-11 22:01:18,2014-01-10 23:59:59,364.082,364.082,334170,8.0,9,494.01339,1.35687,0.41,2242.95378,6.16057,1.85,55.45,4885
8,CLEAN_House8.csv,2013-01-11 22:13:18,2014-01-11 22:13:16,365.0,365.0,373326,6.0,9,436.83853,1.19682,0.36,1363.83298,3.73653,1.12,33.63,16964
9,CLEAN_House9.csv,2013-12-17 17:26:20,2014-12-17 11:36:33,364.757,364.757,3947000,7.0,9,4251.6483,11.65611,3.5,27872.42894,76.41367,22.92,687.72,20710
10,CLEAN_House10.csv,2013-11-20 11:31:18,2014-10-18 05:40:06,331.756,331.756,3947000,6.0,9,5478.68814,16.5142,4.95,8786.60988,26.48515,7.95,238.37,54011
11,CLEAN_House11.csv,2014-01-07 00:00:08,2015-01-05 23:59:56,364.0,364.0,1013921,7.0,9,979.11448,2.68988,0.81,3341.33218,9.17949,2.75,82.62,5401
12,CLEAN_House12.csv,2014-01-04 00:00:05,2015-01-01 23:59:55,363.0,363.0,1458103,7.0,9,1023.5484,2.81969,0.85,5897.65295,16.24698,4.87,146.22,2480
13,CLEAN_House13.csv,2014-01-17 22:26:20,2015-01-17 22:26:19,365.0,365.0,3419454,7.0,9,3446.20855,9.44167,2.83,14872.7341,40.74722,12.22,366.72,90360
15,CLEAN_House15.csv,2013-12-17 17:24:18,2014-12-12 17:46:46,360.016,360.016,3947000,7.0,9,2060.14965,5.72239,1.72,25976.85808,72.15481,21.65,649.39,12012
16,CLEAN_House16.csv,2014-01-02 00:05:19,2015-01-01 23:59:57,364.996,364.996,1407452,7.0,9,1636.43688,4.48343,1.35,3507.26234,9.60904,2.88,86.48,19888
17,CLEAN_House17.csv,2014-01-04 00:00:02,2015-01-01 23:59:54,363.0,363.0,1350111,7.0,9,977.12533,2.69181,0.81,5855.03465,16.12958,4.84,145.17,24734
18,CLEAN_House18.csv,2014-01-04 00:00:02,2015-01-02 23:59:59,364.0,364.0,1264667,7.0,9,1150.96481,3.16199,0.95,2865.84027,7.87319,2.36,70.86,19048
19,CLEAN_House19.csv,2014-01-04 00:10:12,2015-01-01 23:59:56,362.993,362.993,1409056,7.0,9,818.15412,2.25391,0.68,7768.28084,21.40064,6.42,192.61,17164
20,CLEAN_House20.csv,2014-03-20 12:01:19,2015-02-23 13:26:18,340.059,340.059,3947000,7.0,9,2910.95254,8.56014,2.57,19806.12342,58.24319,17.47,524.19,32486
21,CLEAN_House21.csv,2014-01-04 00:00:01,2015-01-02 23:59:54,364.0,364.0,1309089,7.0,9,1348.27861,3.70406,1.11,5354.82641,14.71106,4.41,132.4,46050
