house,timestamp,Time,Unix,Aggregate,Appliance1,Appliance2,Appliance3,Appliance4,Appliance5,Appliance6,Appliance7,Appliance8,Appliance9,Issues,source_file
1,2013-01-11 00:00:02,2013-11-01 00:00:02,1383264002,198,0,0,71,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:06:15,2013-11-01 00:06:15,1383264375,196,0,0,70,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:12:16,2013-11-01 00:12:16,1383264736,180,0,0,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:18:45,2013-11-01 00:18:45,1383265125,182,0,0,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:24:45,2013-11-01 00:24:45,1383265485,202,0,48,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:30:44,2013-11-01 00:30:44,1383265844,284,84,46,0,0,0,0,0,48,1,0,CLEAN_House1.csv
1,2013-01-11 00:36:44,2013-11-01 00:36:44,1383266204,225,79,44,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:42:44,2013-11-01 00:42:44,1383266564,186,73,0,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:48:44,2013-11-01 00:48:44,1383266924,184,70,0,0,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 00:54:44,2013-11-01 00:54:44,1383267284,249,68,0,73,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 01:00:45,2013-11-01 01:00:45,1383267645,199,0,0,71,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 01:06:44,2013-11-01 01:06:44,1383268004,198,0,0,71,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 01:12:45,2013-11-01 01:12:45,1383268365,196,0,0,69,0,0,0,0,0,1,0,CLEAN_House1.csv
1,2013-01-11 01:18:44,2013-11-01 01:18:44,1383268724,207,0,54,0,0,0,0,0,0,1,0,CLEAN_House1.csv
